odsCode,cdbNumber
FEX37,600041948
FEX56,600035457
FEX64,600035460
FEX76,600035462
FEX84,600035463
FEX93,600035466
FEY11,600035468
FEY18,600036242
FEY31,600035470
FEY88,600035473
FF004,600035474
FF009,600035475
FF015,600035476
FF020,600035478
FF021,600035479
FF028,600035480
FF045,600000990
FF055,600035485
FF058,600086481
FF059,600039375
FF082,600039374
FF084,600040901
FF092,600035492
FF097,600000834
FF102,600035495
FF119,600040319
FF120,600035499
FF141,600035501
FF166,600035507
FF184,600035512
FF197,600035514
FF200,600035515
FF205,600035796
FF210,600035518
FF222,600035520
FF229,600040841
FF239,600037752
FF240,600035523
FF241,600035524
FF255,600035526
FF269,600035529
FF270,600035530
FF273,600035532
FF286,600035535
FF297,600035537
FF299,600035539
FF305,600000772
FF312,600000257
FF326,600033537
FF338,600035545
FF341,600035546
FF347,600035548
FF360,600035550
FF368,600035554
FF373,600035556
FF376,600035557
FF379,600035559
FF385,600035560
FF386,600035561
FF391,600035563
FF403,600035565
FF421,600035566
FF426,600035567
FF430,600035568
FF435,600035570
FF441,600035572
FF475,600035577
FF483,600035578
FF498,600035583
FF501,600035584
FF509,600035586
FF519,600035587
FF521,600035588
FF526,600035589
FF533,600035591
FF535,600037227
FF553,600035596
FF575,600035602
FF592,600035603
FF596,600035604
FF604,600035607
FF615,600035083
FF630,600035612
FF631,600035613
FF638,600035616
FF646,600035619
FF647,600035620
FF650,600035621
FF663,600035623
FF671,600041210
FF689,600035627
FF698,600035629
FF708,600000701
FF713,600088071
FF731,600041326
FF737,600035639
FF739,600035641
FF773,600001248
FF784,600035648
FF785,600089241
FF787,600035650
FF788,600035651
FF791,600035652
FF812,600035654
FF819,600035656
FF826,600035657
FF831,600035661
FF832,600035662
FF850,600035665
FF862,600035667
FF864,600042044
FF878,600035669
FF903,600035672
FF910,600035673
FF912,600035674
FF922,600035675
FF987,600035679
FFA03,600035683
FFA36,600037683
FFA38,600035686
FFA41,600000841
FFA47,600038460
FFA48,600037542
FFA91,600035694
FFC01,600000740
FFC04,600001279
FFC15,600090321
FFC36,600035701
FFC49,600035703
FFC53,600036449
FFC93,600035709
FFC94,600040877
FFC95,600035710
FFD30,600034697
FFD48,600001086
FFD60,600039363
FFD76,600000846
FFD91,600034353
FFD93,600035722
FFE24,600035726
FFE28,600042402
FFE41,600000436
FFE44,600035728
FFE70,600035732
FFE75,600035735
FFE81,600035738
FFE82,600043554
FFE83,600034251
FFE98,600035740
FFF02,600035742
FFF04,600035743
FFF08,600035745
FFF12,600035746
FFF23,600035749
FFF41,600035752
FFF50,600035755
FFF58,600035756
FFF63,600035757
FFF68,600035758
FFF79,600038556
FFF81,600035760
FFF85,600042719
FFF90,600039428
FFG07,600035763
FFG18,600000579
FFG29,600035767
FFG36,600035768
FFG38,600035769
FFG61,600035770
FFG68,600038704
FFG82,600035772
FFG97,600035776
FFG99,600035777
FFH03,600035779
FFH10,600035780
FFH18,600035782
FFH21,600035784
FFH24,600035785
FFH25,600035786
FFH35,600035789
FFH36,600035725
FFH39,600035790
FFH44,600035791
FFH59,600033937
FFH75,600035793
FFH81,600000720
FFH97,600000662
FFJ10,600035798
FFJ15,600035800
FFJ22,600035803
FFJ48,600035808
FFJ77,600035811
FFJ81,600000407
FFJ83,600035812
FFK27,600035816
FFK32,600035818
FFK37,600035819
FFK74,600035824
FFK75,600088581
FFK86,600035828
FFL12,600038343
FFL35,600035833
FFM05,600039677
FFM28,600035843
FFM40,600035845
FFM76,600035849
FFM89,600000252
FFN11,600035853
FFN14,600000411
FFN20,600038636
FFN21,600035854
FFN64,600035856
FFN78,600035857
FFN80,600035858
FFN98,600035862
FFP01,600035863
FFP05,600036573
FFP06,600001266
FFP08,600035864
FFP09,600035865
FFP12,600042240
FFP17,600035868
FFP30,600035871
FFP49,600035877
FFP59,600043071
FFP65,600035880
FFP67,600035881
FFP70,600034045
FFP76,600035883
FFP86,600035886
FFQ20,600037078
FFQ25,600033530
FFQ39,600035892
FFQ42,600035893
FFQ59,600035899
FFQ95,600035829
FFQ96,600033719
FFQ99,600035906
FFR00,600001071
FFR05,600035140
FFR06,600035907
FFR19,600035910
FFR23,600088191
FFR51,600035914
FFR55,600035915
FFR64,600035917
FFR74,600035920
FFR82,600035921
FFR85,600035922
FFR87,600035923
FFT01,600035925
FFT05,600036693
FFT17,600037894
FFT63,600000929
FFT67,600035933
FFT68,600035934
FFT69,600035935
FFT72,600035937
FFT75,600035939
FFT88,600001283
FFT89,600034981
FFT99,600035943
FFV01,600035944
FFV03,600035945
FFV18,600035949
FFV19,600035950
FFV36,600035952
FFV49,600035955
FFV56,600035956
FFV57,600035957
FFV61,600035958
FFV68,600035960
FFV74,600035961
FFV90,600035962
FFV94,600085321
FFV95,600040051
FFW04,600038140
FFW07,600035965
FFW20,600035967
FFW23,600035065
FFW32,600033381
FFW39,600042380
FFW67,600035969
FFW69,600034865
FFW86,600041684
FFW87,600043549
FFX11,600035978
FFX25,600035979
FFX34,600041992
FFX49,600035982
FFX77,600035989
FFX78,600035990
FFX82,600036236
FFX93,600034072
FFY02,600035995
FFY14,600033914
FFY48,600035997
FFY53,600035998
FFY65,600000957
FFY87,600036001
FFY99,600001002
FG001,600036003
FG008,600036005
FG011,600036006
FG012,600036007
FG017,600001261
FG019,600000402
FG029,600036012
FG043,600036016
FG050,600036018
FG051,600036019
FG057,600036021
FG077,600036029
FG085,600036030
FG093,600036032
FG094,600000832
FG096,600036033
FG099,600036035
FG103,600036037
FG118,600036040
FG161,600033414
FG165,600036044
FG167,600000829
FG181,600036046
FG189,600036047
FG191,600042203
FG196,600036048
FG198,600036049
FG199,600039608
FG220,600000618
FG227,600036056
FG233,600036058
FG236,600036060
FG241,600037322
FG268,600036064
FG275,600036067
FG288,600036070
FG302,600041885
FG324,600036077
FG325,600033371
FG334,600036079
FG337,600036080
FG343,600036081
FG352,600036082
FG364,600036084
FG366,600036085
FG368,600040608
FG374,600036087
FG375,600036088
FG377,600001180
FG402,600036090
FG413,600000864
FG416,600036093
FG422,600000570
FG424,600036096
FG436,600034584
FG463,600036106
FG469,600036108
FG475,600036109
FG479,600034103
FG484,600036110
FG498,600036115
FG500,600036116
FG509,600036118
FG513,600036120
FG519,600043776
FG545,600036123
FG548,600036124
FG551,600095881
FG568,600037254
FG591,600038943
FG606,600036136
FG618,600033751
FG621,600036141
FG640,600043585
FG668,600001087
FG671,600036149
FG680,600036150
FG698,600036151
FG714,600036157
FG718,600036159
FG723,600037661
FG727,600036161
FG757,600036168
FG759,600036169
FG774,600036174
FG775,600036175
FG781,600000178
FG786,600036177
FG789,600036178
FG803,600041646
FG807,600040267
FG811,600036184
FG837,600036187
FG847,600038916
FG850,600036188
FG853,600042630
FG856,600093571
FG862,600036191
FG863,600036192
FG866,600036193
FG885,600036196
FG889,600036197
FG894,600036198
